Columns	ConvolutionKernel	FrameOfReferenceUID	ImageOrientationPatient	ImagePositionPatient	PixelSpacing	ReconstructionMethod	Rows	SOPInstanceUID	SliceThickness
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-237.396	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.196608480661203403376831792928	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-480.396	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.200774101875992119586983409986	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-203.646	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.202201106373429851361618533497	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-210.396	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.207624098461046385391551108715	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-601.896	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.209005344488354103300883904138	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-504.021	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.213792380611066495869360230426	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-598.521	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.213950780399974628270075475545	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-261.021	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.215979557273750135790874346309	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-352.146	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.217034661546208183423443290175	3.3750001
128	XYZG=7.00	1.3.6.1.4.1.14519.5.2.1.2744.7002.251810428873134458890815509055	1/0/0/0/1/0	-226.41047/-430.7887/-645.771	3.5378182/3.5378182	OSEM 2i8s	128	1.3.6.1.4.1.14519.5.2.1.2744.7002.218657698244787693497417612944	3.3750001
